tracking_id FPKM locus gene_id tracking_id
gene:AT1G04027 0 1:259306-261667 gene:AT1G01650 gene:AT1G01650
gene:AT1G01715 4.77251 1:266332-267883 gene:AT1G04027 gene:AT1G04027
gene:AT1G01710 26.7699 1:262827-266324 gene:AT1G01710 gene:AT1G01770
gene:AT1G01770 5.14615 1:278599-282891 gene:AT1G01770 gene:AT1G01780
gene:AT1G01780 12.5201 1:282760-284245 gene:AT1G01780 gene:AT1G01750
gene:AT1G01750 0.303174 1:275187-276310 gene:AT1G01750 gene:AT1G04057
gene:AT1G04057 0 1:276542-276729 gene:AT1G04057 gene:AT1G04053
gene:AT1G04053 3.23701 1:275472-276319 gene:AT1G04053 gene:AT1G01760
gene:AT1G01760 2.27346 1:276265-278599 gene:AT1G01760 gene:AT1G04043
gene:AT1G01620 240.437 1:225664-227543 gene:AT1G04043 gene:AT1G01725
gene:AT1G04043 0 1:267992-268336 gene:AT1G01725 gene:AT1G01740
gene:AT1G01725 18.0859 1:269791-270859 gene:AT1G01740 gene:AT1G01720
gene:AT1G01740 3.93807 1:272110-274930 gene:AT1G01720 gene:AT1G04047
gene:AT1G01720 10.4247 1:267992-269819 gene:AT1G04047 gene:AT1G01730
gene:AT1G04047 1.53364 1:270066-270517 gene:AT1G01730 gene:AT1G04063
gene:AT1G01730 24.5128 1:270796-272189 gene:AT1G01620 gene:AT1G01810
gene:AT1G04063 0 1:291593-292061 gene:AT1G04063 gene:AT1G01800
gene:AT1G01810 2.04549 1:295206-295859 gene:AT1G01810 gene:AT1G01820
gene:AT1G01820 24.1859 1:296000-298334 gene:AT1G01820 gene:AT1G01870
gene:AT1G01800 41.0836 1:306383-306456 gene:AT1G01870 gene:AT1G01310
gene:AT1G01870 0 1:293245-295086 gene:AT1G01800 gene:AT1G01320
gene:AT1G01880 1.54854 1:306466-309541 gene:AT1G01830 gene:AT1G01880
gene:AT1G01890 0 1:309274-309347 gene:AT1G01880 gene:AT1G01890
gene:AT1G01830 15.4228 1:298450-302310 gene:AT1G01890 gene:AT1G01830
gene:AT1G04067 1.13899 1:303462-303977 gene:AT1G04067 gene:AT1G01790
gene:AT1G01860 10.4211 1:304132-306310 gene:AT1G01860 gene:AT1G04067
gene:AT1G01840 4.55821 1:303536-304358 gene:AT1G01840 gene:AT1G01860
gene:AT1G04073 4.04096 1:304480-304713 gene:AT1G04073 gene:AT1G01840
gene:AT1G01930 6.40052 1:319768-322895 gene:AT1G01930 gene:AT1G04073
gene:AT1G01940 21.2631 1:322885-324917 gene:AT1G01940 gene:AT1G01930
gene:AT1G01790 26.2722 1:340107-342040 gene:AT1G01980 gene:AT1G01940
gene:AT1G01980 0.131111 1:338240-340088 gene:AT1G01970 gene:AT1G01980
gene:AT1G01970 21.6344 1:342917-344400 gene:AT1G01990 gene:AT1G02000
gene:AT1G01990 20.8202 1:345515-347603 gene:AT1G02000 gene:AT1G01990
gene:AT1G02000 6.31167 1:284349-291203 gene:AT1G01790 gene:AT1G01900
gene:AT1G02040 0 1:357905-359078 gene:AT1G02040 gene:AT1G04083
gene:AT1G02060 1.88792 1:359116-360746 gene:AT1G01950 gene:AT1G01920
gene:AT1G02070 0.226799 1:360917-363142 gene:AT1G01960 gene:AT1G04077
gene:AT1G02050 9.33096 1:370194-371090 gene:AT1G02050 gene:AT1G01910
gene:AT1G01950 7.05732 1:325315-330619 gene:AT1G02060 gene:AT1G02040
gene:AT1G01960 12.533 1:330587-337912 gene:AT1G02070 gene:AT1G01970
gene:AT1G02020 7.48647 1:365164-367443 gene:AT1G02065 gene:AT1G01950
gene:AT1G02030 0 1:366944-367166 gene:AT1G02067 gene:AT1G01960
gene:AT1G02065 3.09337 1:347612-352545 gene:AT1G02020 gene:AT1G02050
gene:AT1G02067 1.92755 1:352611-355124 gene:AT1G02030 gene:AT1G02060
gene:AT1G02010 8.11182 1:355123-357258 gene:AT1G02010 gene:AT1G02070
gene:AT1G01900 1.87738 1:310168-313130 gene:AT1G01900 gene:AT1G02020
gene:AT1G04083 1.45045 1:314188-314463 gene:AT1G04083 gene:AT1G02030
gene:AT1G01920 11.0131 1:315982-319667 gene:AT1G01920 gene:AT1G02010
gene:AT1G04077 2.19562 1:311827-312884 gene:AT1G04077 gene:AT1G02065
gene:AT1G01910 27.7805 1:313100-316090 gene:AT1G01910 gene:AT1G02067
gene:AT1G02090 34.2015 1:387276-389808 gene:AT1G02090 gene:AT1G02110
gene:AT1G02100 22.6452 1:389811-392816 gene:AT1G02110 gene:AT1G02100
gene:AT1G02110 22.3342 1:392830-395528 gene:AT1G02100 gene:AT1G02090
gene:AT1G04087 0 1:402085-402294 gene:AT1G02080 gene:AT1G04087
gene:AT1G02080 11.2402 1:373334-386913 gene:AT1G04087 gene:AT1G02080
gene:AT1G02140 94.3706 1:403099-404456 gene:AT1G02140 gene:AT1G02140
gene:AT1G02120 39.0879 1:404599-408619 gene:AT1G02145 gene:AT1G02145
gene:AT1G02130 37.4691 1:410743-411632 gene:AT1G02120 gene:AT1G02120
gene:AT1G02145 13.0338 1:395688-400001 gene:AT1G02130 gene:AT1G02130
gene:AT1G02160 49.2397 1:399982-401919 gene:AT1G02160 gene:AT1G02190
gene:AT1G02190 0.487227 1:415073-418027 gene:AT1G02190 gene:AT1G02160
gene:AT1G02150 58.461 1:408621-410680 gene:AT1G02150 gene:AT1G02170
gene:AT1G02170 17.5101 1:411663-413554 gene:AT1G02170 gene:AT1G02180
gene:AT1G02180 13.9549 1:413521-414649 gene:AT1G02180 gene:AT1G02220
gene:AT1G04093 0 1:424665-425164 gene:AT1G04093 gene:AT1G02210
gene:AT1G02210 0 1:427547-427811 gene:AT1G02210 gene:AT1G04093
gene:AT1G02250 0.0459966 1:437859-439559 gene:AT1G02250 gene:AT1G02250
gene:AT1G02230 0.256273 1:434964-436922 gene:AT1G02230 gene:AT1G02230
gene:AT1G02220 3.06513 1:428649-430720 gene:AT1G02220 gene:AT1G02150
gene:AT1G02260 4.95291 1:440199-442972 gene:AT1G02260 gene:AT1G02260
gene:AT1G02270 10.6934 1:443117-446296 gene:AT1G02270 gene:AT1G02270
gene:AT1G02290 7.03912 1:450460-452743 gene:AT1G02290 gene:AT1G02205
gene:AT1G02300 11.6386 1:453106-455519 gene:AT1G02300 gene:AT1G02290
gene:AT1G02335 0.454444 1:418415-422579 gene:AT1G02280 gene:AT1G02300
gene:AT1G02350 0.950776 1:463753-464981 gene:AT1G02205 gene:AT1G02335
gene:AT1G02280 68.3151 1:469817-470693 gene:AT1G02335 gene:AT1G02350
gene:AT1G02340 2.01254 1:465615-467880 gene:AT1G02350 gene:AT1G02380
gene:AT1G02360 0.931777 1:474372-476612 gene:AT1G02340 gene:AT1G02340
gene:AT1G02370 3.79235 1:471882-473336 gene:AT1G02360 gene:AT1G02360
gene:AT1G02205 44.9344 1:476944-479112 gene:AT1G02370 gene:AT1G02370
gene:AT1G02380 1.86057 1:480649-483373 gene:AT1G02380 gene:AT1G02280
gene:AT1G02390 1.11635 1:448422-450426 gene:AT1G02390 gene:AT1G02390
gene:AT1G02405 1.20332 1:489873-490627 gene:AT1G02405 gene:AT1G02405
gene:AT1G02400 1.37877 1:486799-489651 gene:AT1G02400 gene:AT1G02400
gene:AT1G02440 0 1:496371-497555 gene:AT1G02440 gene:AT1G02440
gene:AT1G02450 0.936202 1:497916-498539 gene:AT1G02450 gene:AT1G02450
gene:AT1G02460 0.363069 1:504462-507268 gene:AT1G02460 gene:AT1G02420
gene:AT1G02305 40.8497 1:455687-458164 gene:AT1G02410 gene:AT1G04123
gene:AT1G04103 0 1:459121-461921 gene:AT1G02480 gene:AT1G04117
gene:AT1G02320 0 1:461827-461974 gene:AT1G02490 gene:AT1G02430
gene:AT1G04097 0 1:455879-456198 gene:AT1G02420 gene:AT1G02460
gene:AT1G02310 0 1:458132-460831 gene:AT1G04123 gene:AT1G02410
gene:AT1G02330 19.1157 1:461945-463618 gene:AT1G04117 gene:AT1G02480
gene:AT1G02480 0 1:490859-492979 gene:AT1G02430 gene:AT1G02490
gene:AT1G02490 0 1:493638-495158 gene:AT1G02305 gene:AT1G02470
gene:AT1G02410 20.3628 1:495886-496190 gene:AT1G04103 gene:AT1G02475
gene:AT1G02420 0.505194 1:494007-495548 gene:AT1G02320 gene:AT1G02510
gene:AT1G04123 0.330753 1:495049-496332 gene:AT1G04097 gene:AT1G02550
gene:AT1G04117 3.11429 1:515493-515566 gene:AT1G02310 gene:AT1G02540
gene:AT1G02430 0.332691 1:516568-516866 gene:AT1G02330 gene:AT1G02520
gene:AT1G02470 0.823814 1:511764-513721 gene:AT1G02470 gene:AT1G02305
gene:AT1G02475 29.2633 1:513698-515422 gene:AT1G02475 gene:AT1G04103
gene:AT1G02510 0 1:520497-521668 gene:AT1G02510 gene:AT1G02320
gene:AT1G02540 0 1:534826-535699 gene:AT1G02540 gene:AT1G04097
gene:AT1G02550 0 1:529678-534677 gene:AT1G02550 gene:AT1G02310
gene:AT1G02530 0.0817503 1:536482-537211 gene:AT1G02530 gene:AT1G02330
gene:AT1G02520 0.201726 1:523535-529069 gene:AT1G02520 gene:AT1G02530
gene:AT1G02570 0 1:541235-542245 gene:AT1G02570 gene:AT1G02500
gene:AT1G02575 0 1:543010-544057 gene:AT1G02575 gene:AT1G02570
gene:AT1G04127 0 1:551288-551529 gene:AT1G04127 gene:AT1G04127
gene:AT1G02580 0 1:544732-549202 gene:AT1G02580 gene:AT1G02575
gene:AT1G02610 0.986754 1:553018-556152 gene:AT1G02590 gene:AT1G02580
gene:AT1G02590 0 1:552137-552761 gene:AT1G02600 gene:AT1G02590
gene:AT1G02600 0 1:552639-552711 gene:AT1G02610 gene:AT1G02600
gene:AT1G04137 0 1:559734-560251 gene:AT1G04137 gene:AT1G02620
gene:AT1G02630 1.46259 1:560609-562598 gene:AT1G02500 gene:AT1G04133
gene:AT1G02620 0 1:568557-570554 gene:AT1G02630 gene:AT1G04137
gene:AT1G04133 0 1:564017-567771 gene:AT1G02620 gene:AT1G02610
gene:AT1G02650 0.335543 1:571825-575085 gene:AT1G04133 gene:AT1G02630
gene:AT1G02660 0.828628 1:557091-558774 gene:AT1G02650 gene:AT1G02650
gene:AT1G02640 4.39523 1:558070-558492 gene:AT1G02640 gene:AT1G02640
gene:AT1G04143 0 1:518090-520495 gene:AT1G02660 gene:AT1G02660
gene:AT1G02680 16.1847 1:583470-583860 gene:AT1G04143 gene:AT1G04143
gene:AT1G02670 0.847588 1:575921-580532 gene:AT1G02680 gene:AT1G02680
gene:AT1G02700 0.430145 1:580624-582310 gene:AT1G02700 gene:AT1G02670
gene:AT1G02705 5.63468 1:588002-589480 gene:AT1G02670 gene:AT1G02700
gene:AT1G02710 2.82006e-05 1:584133-587327 gene:AT1G02690 gene:AT1G02690
gene:AT1G02720 7.98303 1:589583-590406 gene:AT1G02705 gene:AT1G02720
gene:AT1G02690 9.39892 1:589705-589996 gene:AT1G02710 gene:AT1G02705
gene:AT1G02760 0 1:591681-594264 gene:AT1G02720 gene:AT1G02710
gene:AT1G02740 6.36921 1:599329-602199 gene:AT1G02740 gene:AT1G02740
gene:AT1G02770 0.393104 1:604401-604474 gene:AT1G02760 gene:AT1G02760
gene:AT1G02560 152.332 1:594501-598657 gene:AT1G02770 gene:AT1G02730
gene:AT1G02730 14.7349 1:604872-606708 gene:AT1G02730 gene:AT1G02770
gene:AT1G02750 10.9647 1:602488-604387 gene:AT1G02750 gene:AT1G02750
gene:AT1G02500 219.867 1:537739-540127 gene:AT1G02560 gene:AT1G02560
gene:AT1G02790 0.152636 1:610362-612324 gene:AT1G02790 gene:AT1G02790
gene:AT1G02813 0 1:620677-621329 gene:AT1G02813 gene:AT1G02800
gene:AT1G02810 0.635766 1:618060-620502 gene:AT1G02810 gene:AT1G02810
gene:AT1G02800 9.93267 1:613196-616231 gene:AT1G02800 gene:AT1G02813
gene:AT1G02816 7.24243 1:621452-623054 gene:AT1G02816 gene:AT1G02816
gene:AT1G02830 0 1:625083-625608 gene:AT1G02830 gene:AT1G02820
gene:AT1G02820 73.9027 1:623655-624567 gene:AT1G02820 gene:AT1G02830
gene:AT1G02850 0.704701 1:630373-633420 gene:AT1G02850 gene:AT1G02850
gene:AT1G02860 4.74622 1:635143-637262 gene:AT1G02860 gene:AT1G02900
gene:AT1G04147 0.469346 1:636336-636614 gene:AT1G04147 gene:AT1G02860
gene:AT1G02870 34.7471 1:637213-638681 gene:AT1G02870 gene:AT1G04147
gene:AT1G04153 0.164898 1:637771-638231 gene:AT1G04153 gene:AT1G02870
gene:AT1G02900 4.50733 1:653603-654457 gene:AT1G02900 gene:AT1G04153
gene:AT1G02880 18.0442 1:642504-644903 gene:AT1G02880 gene:AT1G02880
gene:AT1G02920 16.875 1:658577-659980 gene:AT1G02840 gene:AT1G02890
gene:AT1G02940 0.613969 1:645083-652001 gene:AT1G02890 gene:AT1G02840
gene:AT1G02890 10.4576 1:662962-664290 gene:AT1G02920 gene:AT1G02910
gene:AT1G02965 0 1:626638-629993 gene:AT1G02910 gene:AT1G02920
gene:AT1G02950 1.33629 1:661087-662475 gene:AT1G02940 gene:AT1G02940
gene:AT1G02952 0 1:665118-666471 gene:AT1G02965 gene:AT1G02950
gene:AT1G02970 2.16857 1:665353-666367 gene:AT1G02970 gene:AT1G02952
gene:AT1G02910 26.895 1:655567-658216 gene:AT1G02950 gene:AT1G02965
gene:AT1G02930 32.6935 1:671660-672814 gene:AT1G02952 gene:AT1G02970
gene:AT1G03020 0.280323 1:607798-609534 gene:AT1G02930 gene:AT1G02960
gene:AT1G03000 6.56437 1:673305-676419 gene:AT1G03020 gene:AT1G03020
gene:AT1G03010 1.75721 1:666806-669919 gene:AT1G03010 gene:AT1G03010
gene:AT1G02960 9.88836 1:697918-698591 gene:AT1G02960 gene:AT1G03000
gene:AT1G02840 75.3586 1:687794-692660 gene:AT1G03000 gene:AT1G03050
gene:AT1G03050 0.0225083 1:693189-696504 gene:AT1G02780 gene:AT1G03055
gene:AT1G03055 6.25172 1:707484-710041 gene:AT1G03050 gene:AT1G02980
gene:AT1G02980 0 1:710017-711857 gene:AT1G03055 gene:AT1G02990
gene:AT1G02990 2.81291 1:677359-681378 gene:AT1G02980 gene:AT1G03103
gene:AT1G03030 9.83668 1:681330-687385 gene:AT1G02990 gene:AT1G03106
gene:AT1G03040 32.2425 1:701364-703929 gene:AT1G03030 gene:AT1G03120
gene:AT1G03103 0 1:703846-706689 gene:AT1G03040 gene:AT1G03030
gene:AT1G03106 0.183098 1:747196-748057 gene:AT1G03106 gene:AT1G03040
gene:AT1G03120 1.1289 1:748100-749034 gene:AT1G03103 gene:AT1G02780
gene:AT1G03110 10.0709 1:752190-753140 gene:AT1G03120 gene:AT1G03110
gene:AT1G03060 5.01787 1:749245-751976 gene:AT1G03110 gene:AT1G02930
gene:AT1G03090 8.88108 1:712439-727553 gene:AT1G03090 gene:AT1G03070
gene:AT1G04163 6.05868e-37 1:739543-744184 gene:AT1G04163 gene:AT1G03080
gene:AT1G04157 0 1:744723-746147 gene:AT1G04157 gene:AT1G03090
gene:AT1G03100 0.880794 1:742297-742522 gene:AT1G03100 gene:AT1G04163
gene:AT1G02780 992.554 1:743884-746701 gene:AT1G03060 gene:AT1G04157
gene:AT1G03070 0.144958 1:729829-731565 gene:AT1G03070 gene:AT1G03100
gene:AT1G03080 12.8683 1:731553-738306 gene:AT1G03080 gene:AT1G03060
gene:AT1G04167 0 1:760883-761099 gene:AT1G04167 gene:AT1G04167
gene:AT1G03150 19.7613 1:756413-758678 gene:AT1G03150 gene:AT1G03150
gene:AT1G03170 0.280643 1:768375-770684 gene:AT1G03170 gene:AT1G03170
gene:AT1G03165 1.74561 1:766335-767324 gene:AT1G04177 gene:AT1G04177
gene:AT1G04173 0 1:767036-767385 gene:AT1G03165 gene:AT1G03165
gene:AT1G04177 0 1:780106-780409 gene:AT1G04173 gene:AT1G04173
gene:AT1G03180 2.57586 1:773357-775362 gene:AT1G03180 gene:AT1G03190
gene:AT1G03190 4.35781 1:775526-780062 gene:AT1G03190 gene:AT1G03240
gene:AT1G03200 2.7969 1:780518-782946 gene:AT1G03200 gene:AT1G03230
gene:AT1G03210 16.9823 1:782903-784346 gene:AT1G03210 gene:AT1G03200
gene:AT1G03240 0.125651 1:792221-793060 gene:AT1G03240 gene:AT1G03210
gene:AT1G03220 23.0245 1:789819-791689 gene:AT1G03230 gene:AT1G03180
gene:AT1G03230 14.1987 1:786831-788722 gene:AT1G03220 gene:AT1G03220
gene:AT1G03260 7.71836 1:795448-798491 gene:AT1G03260 gene:AT1G03260
gene:AT1G03270 4.1621 1:799114-802625 gene:AT1G03270 gene:AT1G03270
gene:AT1G03160 17.2225 1:793314-795403 gene:AT1G03250 gene:AT1G03160
gene:AT1G03250 24.5242 1:761260-766194 gene:AT1G03160 gene:AT1G03320
gene:AT1G03280 15.4487 1:802969-807066 gene:AT1G03280 gene:AT1G03325
gene:AT1G03320 0.618835 1:816988-817767 gene:AT1G03320 gene:AT1G03250
gene:AT1G03325 0 1:817052-817178 gene:AT1G03325 gene:AT1G03130
gene:AT1G03340 1.87107 1:819611-821476 gene:AT1G03340 gene:AT1G03140
gene:AT1G03330 48.7512 1:817933-819563 gene:AT1G03330 gene:AT1G03280
gene:AT1G03360 11.2861 1:807360-813216 gene:AT1G03360 gene:AT1G03340
gene:AT1G03350 22.5529 1:811032-813086 gene:AT1G03290 gene:AT1G03310
gene:AT1G03290 11.5636 1:824516-826399 gene:AT1G03300 gene:AT1G03330
gene:AT1G03300 7.90588e-77 1:822581-824410 gene:AT1G03350 gene:AT1G03350
gene:AT1G03365 5.94756 1:826522-830393 gene:AT1G03310 gene:AT1G03360
gene:AT1G03310 22.0342 1:813412-816812 gene:AT1G03365 gene:AT1G03365
gene:AT1G03370 6.16183 1:830549-835411 gene:AT1G03370 gene:AT1G03370
gene:AT1G03380 8.22387 1:835766-841373 gene:AT1G03380 gene:AT1G03290
gene:AT1G03395 0 1:841676-842158 gene:AT1G03395 gene:AT1G03300
gene:AT1G03390 0.0381302 1:841032-842418 gene:AT1G03390 gene:AT1G03400
gene:AT1G03400 19.4136 1:842658-844251 gene:AT1G03400 gene:AT1G03445
gene:AT1G03445 0.018043 1:854409-859701 gene:AT1G03445 gene:AT1G03430
gene:AT1G03440 6.37925 1:852150-854297 gene:AT1G03440 gene:AT1G03380
gene:AT1G03430 16.6144 1:847792-849621 gene:AT1G03430 gene:AT1G03395
gene:AT1G03457 5.30347 1:865894-867733 gene:AT1G03457 gene:AT1G03390
gene:AT1G03470 4.87733 1:860760-864372 gene:AT1G03470 gene:AT1G03440
gene:AT1G03410 3.31214 1:844435-847683 gene:AT1G03410 gene:AT1G03457
gene:AT1G04183 30.1367 1:845676-847683 gene:AT1G04183 gene:AT1G03470
gene:AT1G03130 1293.79 1:871873-872906 gene:AT1G03490 gene:AT1G03410
gene:AT1G03140 28.3638 1:875055-875189 gene:AT1G04187 gene:AT1G04183
gene:AT1G03490 0 1:875223-875340 gene:AT1G04193 gene:AT1G03490
gene:AT1G04187 0 1:875357-875471 gene:AT1G03502 gene:AT1G04187
gene:AT1G03506 0 1:875517-875604 gene:AT1G03506 gene:AT1G03495
gene:AT1G04197 0 1:873165-874476 gene:AT1G03495 gene:AT1G04193
gene:AT1G04193 69.7455 1:875678-875823 gene:AT1G04197 gene:AT1G03506
gene:AT1G03502 95.9921 1:877647-877719 gene:AT1G03515 gene:AT1G03502
gene:AT1G03495 10.0029 1:876086-877556 gene:AT1G03510 gene:AT1G04197
gene:AT1G03510 0.677245 1:883682-885611 gene:AT1G03540 gene:AT1G03515
gene:AT1G03515 0 1:880383-883599 gene:AT1G03530 gene:AT1G03510
gene:AT1G03475 93.9003 1:877860-880259 gene:AT1G03520 gene:AT1G03520
gene:AT1G03540 0.84103 1:892513-892585 gene:AT1G03570 gene:AT1G03540
gene:AT1G03520 7.24714 1:890154-892492 gene:AT1G03560 gene:AT1G03530
gene:AT1G03530 5.86784 1:868852-871308 gene:AT1G03475 gene:AT1G03570
gene:AT1G03570 0 1:894237-897718 gene:AT1G03590 gene:AT1G03560
gene:AT1G03560 4.4512 1:885622-887956 gene:AT1G03550 gene:AT1G03590
gene:AT1G03590 8.13747 1:885940-887972 gene:AT1G03545 gene:AT1G03475
gene:AT1G03550 9.34048 1:753306-754262 gene:AT1G03130 gene:AT1G03550
gene:AT1G03545 1.9485 1:754260-756303 gene:AT1G03140 gene:AT1G03545
