tracking_id FPKM locus gene_id tracking_id
gene:Os01g0109500 0.221607 1:510751-512142 gene:Os01g0109500 gene:Os01g0109500
gene:Os01g0106900 218.755 1:374727-380713 gene:Os01g0109300 gene:Os01g0106900
gene:Os01g0109300 32.5772 1:498453-506264 gene:Os01g0109201 gene:Os01g0109300
gene:Os01g0109201 3.33067e-08 1:498611-506251 gene:Os01g0106900 gene:Os01g0109201
gene:Os01g0109750 15.7023 1:524670-527980 gene:Os01g0109750 gene:Os01g0109750
gene:Os01g0110200 2.0594 1:543424-544510 gene:Os01g0110200 gene:Os01g0110200
gene:Os01g0110050 0.732803 1:536972-538644 gene:Os01g0110050 gene:Os01g0110050
gene:Os01g0110100 3.00246 1:537709-543354 gene:Os01g0110100 gene:Os01g0110100
gene:Os01g0110800 0 1:576494-579569 gene:Os01g0110800 gene:Os01g0110800
gene:Os01g0110700 0.309671 1:562087-572092 gene:Os01g0110700 gene:Os01g0110700
gene:Os01g0110500 0.879738 1:549156-552574 gene:Os01g0110500 gene:Os01g0110500
gene:Os01g0110600 1.5973e-07 1:554024-558015 gene:Os01g0110600 gene:Os01g0110600
gene:Os01g0110400 14.6846 1:554333-557257 gene:Os01g0110400 gene:Os01g0110400
gene:Os01g0109700 33.76 1:513889-522448 gene:Os01g0109700 gene:Os01g0111000
gene:Os01g0111000 0 1:585875-586445 gene:Os01g0111000 gene:Os01g0111100
gene:Os01g0111100 53.5833 1:586444-587696 gene:Os01g0111100 gene:Os01g0109700
gene:Os01g0111300 5.83916 1:597008-597804 gene:Os01g0111300 gene:Os01g0111300
gene:Os01g0111500 0 1:603642-605643 gene:Os01g0111500 gene:Os01g0111500
gene:Os01g0111600 0 1:612563-615631 gene:Os01g0111600 gene:Os01g0111600
gene:Os01g0111700 0.0434175 1:620571-621516 gene:Os01g0111700 gene:Os01g0111200
gene:Os01g0111800 11.8287 1:624086-624759 gene:Os01g0111800 gene:Os01g0111700
gene:Os01g0112000 0 1:632138-632790 gene:Os01g0112000 gene:Os01g0111800
gene:Os01g0112050 0 1:634039-634757 gene:Os01g0112050 gene:Os01g0112000
gene:Os01g0111400 5.23924 1:598289-601467 gene:Os01g0111400 gene:Os01g0111900
gene:Os01g0111900 16.3932 1:625985-627009 gene:Os01g0111900 gene:Os01g0111400
gene:Os01g0111200 28.5929 1:588916-593714 gene:Os01g0111200 gene:Os01g0112050
gene:Os01g0112400 0.671522 1:640697-644217 gene:Os01g0112400 gene:Os01g0112100
gene:Os01g0112100 0.442184 1:635324-639015 gene:Os01g0112300 gene:Os01g0112201
gene:Os01g0112201 0.210938 1:637961-639060 gene:Os01g0112100 gene:Os01g0112400
gene:Os01g0112300 5.27069 1:645597-646722 gene:Os01g0112201 gene:Os01g0112300
gene:Os01g0112600 0 1:677028-677602 gene:Os01g0112600 gene:Os01g0112800
gene:Os01g0112800 0 1:689787-693923 gene:Os01g0112800 gene:Os01g0112600
gene:Os01g0113150 0 1:710955-714232 gene:Os01g0113150 gene:Os01g0113150
gene:Os01g0113200 0.41162 1:720672-723317 gene:Os01g0113200 gene:Os01g0112500
gene:Os01g0113000 0.309498 1:700532-706399 gene:Os01g0113000 gene:Os01g0113000
gene:Os01g0112500 36.7973 1:648287-651869 gene:Os01g0112500 gene:Os01g0113200
gene:Os01g0113300 2.24242e-05 1:723692-726099 gene:Os01g0113300 gene:Os01g0113300
gene:Os01g0113325 0.121145 1:723735-725885 gene:Os01g0113325 gene:Os01g0113325
gene:Os01g0113800 1.02526 1:745451-748945 gene:Os01g0113800 gene:Os01g0113800
gene:Os01g0114000 0 1:738282-741797 gene:Os01g0113600 gene:Os01g0114000
gene:Os01g0114050 0 1:738907-740898 gene:Os01g0113650 gene:Os01g0114050
gene:Os01g0113600 7.61868e-08 1:760694-760756 gene:Os01g0114050 gene:Os01g0113600
gene:Os01g0113650 0.0546664 1:756220-756901 gene:Os01g0114000 gene:Os01g0113650
gene:Os01g0113700 1.35516 1:742859-745177 gene:Os01g0113700 gene:Os01g0113700
gene:Os01g0113750 6.58297e-06 1:742882-745165 gene:Os01g0113750 gene:Os01g0113750
gene:Os01g0113900 3.98026 1:752079-754992 gene:Os01g0113900 gene:Os01g0113900
gene:Os01g0113950 0.185273 1:752188-754829 gene:Os01g0113950 gene:Os01g0113950
gene:Os01g0114550 0.0995568 1:767180-769673 gene:Os01g0113350 gene:Os01g0113350
gene:Os01g0114100 4.30091 1:767383-769651 gene:Os01g0113450 gene:Os01g0113450
gene:Os01g0114150 0.159155 1:728967-731172 gene:Os01g0113500 gene:Os01g0113500
gene:Os01g0114700 0 1:731488-733719 gene:Os01g0113400 gene:Os01g0113400
gene:Os01g0113350 3.30653 1:734070-737556 gene:Os01g0114100 gene:Os01g0114100
gene:Os01g0113450 0.438716 1:731149-738020 gene:Os01g0114150 gene:Os01g0114150
gene:Os01g0113500 4.82878 1:782764-784932 gene:Os01g0114550 gene:Os01g0114550
gene:Os01g0113400 3.8009 1:789713-792435 gene:Os01g0114700 gene:Os01g0114700
gene:Os01g0114400 0 1:774726-775743 gene:Os01g0114400 gene:Os01g0114400
gene:Os01g0114402 0 1:774847-779158 gene:Os01g0114402 gene:Os01g0114402
gene:Os01g0114600 5.42292e-05 1:786372-788619 gene:Os01g0115100 gene:Os01g0115100
gene:Os01g0114650 0.826646 1:786400-788484 gene:Os01g0114800 gene:Os01g0114600
gene:Os01g0114200 1.21054 1:770283-774374 gene:Os01g0114900 gene:Os01g0114650
gene:Os01g0114300 7.06363 1:770331-773829 gene:Os01g0114600 gene:Os01g0114200
gene:Os01g0115100 2.13827 1:804096-806932 gene:Os01g0114650 gene:Os01g0114300
gene:Os01g0114800 0.132843 1:792454-796419 gene:Os01g0115600 gene:Os01g0114800
gene:Os01g0114900 0 1:794498-795413 gene:Os01g0114200 gene:Os01g0114900
gene:Os01g0115600 1.86344 1:843529-847399 gene:Os01g0114300 gene:Os01g0115600
gene:Os01g0115300 4.39831 1:808173-810139 gene:Os01g0115300 gene:Os01g0115300
gene:Os01g0115200 1.52063e-07 1:808372-808859 gene:Os01g0115200 gene:Os01g0115200
gene:Os01g0115500 0.0848706 1:851834-854599 gene:Os01g0115500 gene:Os01g0115700
gene:Os01g0115566 3.46108 1:852274-854570 gene:Os01g0115566 gene:Os01g0115725
gene:Os01g0115533 0.0717466 1:839808-840828 gene:Os01g0115533 gene:Os01g0115500
gene:Os01g0115700 2.47836 1:842001-842757 gene:Os01g0115700 gene:Os01g0115566
gene:Os01g0115725 0.616677 1:839878-842743 gene:Os01g0115725 gene:Os01g0115533
gene:Os01g0116300 0.587957 1:915604-917636 gene:Os01g0115750 gene:Os01g0115750
gene:Os01g0115750 3.6001 1:857789-860739 gene:Os01g0115752 gene:Os01g0115752
gene:Os01g0115752 1.71381e-05 1:857904-860521 gene:Os01g0116300 gene:Os01g0115800
gene:Os01g0116000 0 1:862578-865249 gene:Os01g0116000 gene:Os01g0115950
gene:Os01g0116101 0 1:863114-865183 gene:Os01g0116101 gene:Os01g0116200
gene:Os01g0116200 0 1:872457-874817 gene:Os01g0116200 gene:Os01g0116250
gene:Os01g0116250 0 1:872508-874697 gene:Os01g0116250 gene:Os01g0116000
gene:Os01g0115800 3.16695 1:911734-914246 gene:Os01g0115800 gene:Os01g0116101
gene:Os01g0115950 0.411171 1:911977-914143 gene:Os01g0115950 gene:Os01g0116100
gene:Os01g0116100 3.8183e-07 1:865785-869533 gene:Os01g0116100 gene:Os01g0115900
gene:Os01g0115900 3.10498 1:865791-869367 gene:Os01g0115900 gene:Os01g0116300
gene:Os01g0116400 9.9997 1:921077-923630 gene:Os01g0116400 gene:Os01g0116400
gene:Os01g0116650 0.510131 1:921295-923591 gene:Os01g0116650 gene:Os01g0116650
gene:Os01g0117266 0 1:976765-977218 gene:Os01g0117266 gene:Os01g0117266
gene:Os01g0117300 1.93467 1:979237-980546 gene:Os01g0117000 gene:Os01g0117300
gene:Os01g0117000 0.522575 1:987675-990745 gene:Os01g0117025 gene:Os01g0117500
gene:Os01g0117025 0.850941 1:957906-960626 gene:Os01g0117300 gene:Os01g0117000
gene:Os01g0117500 0.386986 1:957951-960545 gene:Os01g0117500 gene:Os01g0117025
gene:Os01g0117050 2.26016 1:969339-973327 gene:Os01g0117050 gene:Os01g0117200
gene:Os01g0117100 3.59668 1:969538-970666 gene:Os01g0117100 gene:Os01g0117233
gene:Os01g0117200 0.815667 1:961334-961973 gene:Os01g0117200 gene:Os01g0117050
gene:Os01g0117233 1.17278 1:961798-965151 gene:Os01g0117233 gene:Os01g0117100
gene:Os01g0117400 0.726344 1:984509-985133 gene:Os01g0117400 gene:Os01g0117400
gene:Os01g0117450 0.404732 1:984535-986741 gene:Os01g0117450 gene:Os01g0117450
gene:Os01g0117700 0.452131 1:997917-1000997 gene:Os01g0117700 gene:Os01g0117700
gene:Os01g0117600 1.09846 1:994711-997262 gene:Os01g0117600 gene:Os01g0117600
gene:Os01g0117650 0.503949 1:994954-997150 gene:Os01g0117650 gene:Os01g0117650
gene:Os01g0116900 10.6545 1:924450-956639 gene:Os01g0116900 gene:Os01g0116900
gene:Os01g0116600 12.4482 1:929883-934458 gene:Os01g0116600 gene:Os01g0116600
gene:Os01g0116800 0.958545 1:935573-936704 gene:Os01g0116800 gene:Os01g0116800
gene:Os01g0116901 0.25909 1:935617-938250 gene:Os01g0116901 gene:Os01g0116901
gene:Os01g0118000 14.5506 1:1016064-1019435 gene:Os01g0118000 gene:Os01g0117900
gene:Os01g0118033 2.78994e-08 1:1016195-1017917 gene:Os01g0118033 gene:Os01g0118000
gene:Os01g0118400 1.40241 1:1066677-1069673 gene:Os01g0118600 gene:Os01g0118033
gene:Os01g0118600 0.417573 1:1046603-1053166 gene:Os01g0118300 gene:Os01g0118600
gene:Os01g0118300 0.114404 1:1047746-1052682 gene:Os01g0118350 gene:Os01g0118300
gene:Os01g0118350 0 1:1010258-1012400 gene:Os01g0118400 gene:Os01g0118350
gene:Os01g0119050 4.30299 1:1057176-1059852 gene:Os01g0117900 gene:Os01g0118400
gene:Os01g0118700 3.5207 1:1078564-1081597 gene:Os01g0119050 gene:Os01g0119050
gene:Os01g0119000 0.504805 1:1089872-1090174 gene:Os01g0118700 gene:Os01g0119000
gene:Os01g0118066 0.439573 1:1071961-1074829 gene:Os01g0119000 gene:Os01g0118066
gene:Os01g0118100 16.0984 1:1090193-1092825 gene:Os01g0119100 gene:Os01g0118100
gene:Os01g0119100 3.33199 1:1021423-1025533 gene:Os01g0118066 gene:Os01g0118700
gene:Os01g0119800 0 1:1024185-1030112 gene:Os01g0118100 gene:Os01g0119100
gene:Os01g0119500 8.08125 1:1125644-1127402 gene:Os01g0119800 gene:Os01g0119800
gene:Os01g0117900 142.992 1:1103781-1106890 gene:Os01g0119500 gene:Os01g0119500
gene:Os01g0120400 5.86465 1:1155292-1158444 gene:Os01g0120400 gene:Os01g0120400
gene:Os01g0120300 23.3635 1:1145919-1153828 gene:Os01g0120300 gene:Os01g0120300
gene:Os01g0120600 4.42921 1:1165736-1168396 gene:Os01g0120600 gene:Os01g0120600
gene:Os01g0120500 89.7951 1:1168736-1171126 gene:Os01g0120700 gene:Os01g0120500
gene:Os01g0120700 19.7014 1:1160197-1164619 gene:Os01g0120500 gene:Os01g0120700
gene:Os01g0121000 0 1:1181316-1182147 gene:Os01g0121000 gene:Os01g0121000
gene:ENSRNA049471381 0 1:1215029-1215219 gene:ENSRNA049471381 gene:ENSRNA049471381
gene:Os01g0121500 0.666532 1:1217318-1218116 gene:Os01g0121500 gene:Os01g0121500
gene:Os01g0121600 2.26519 1:1223133-1223887 gene:Os01g0121600 gene:Os01g0121600
gene:Os01g0121300 4.31843 1:1198686-1203502 gene:Os01g0121300 gene:Os01g0120800
gene:Os01g0121400 0.0827543 1:1198957-1203465 gene:Os01g0121400 gene:Os01g0121300
gene:Os01g0121100 35.7663 1:1183465-1186699 gene:Os01g0121100 gene:Os01g0121400
gene:Os01g0121200 0.677225 1:1186666-1191013 gene:Os01g0121200 gene:Os01g0121100
gene:Os01g0120800 34.502 1:1238622-1240005 gene:Os01g0120800 gene:Os01g0121200
gene:Os01g0121900 0 1:1240942-1242391 gene:Os01g0121900 gene:Os01g0121700
gene:Os01g0121950 0 1:1171901-1179370 gene:Os01g0121950 gene:Os01g0121950
gene:Os01g0122000 3.83702 1:1232492-1236760 gene:Os01g0123500 gene:Os01g0121900
gene:Os01g0121800 9.1434 1:1249880-1251421 gene:Os01g0121800 gene:Os01g0122000
gene:Os01g0122200 0 1:1254027-1255635 gene:Os01g0122000 gene:Os01g0121800
gene:Os01g0122367 0 1:1254330-1255339 gene:Os01g0123800 gene:Os01g0123500
gene:Os01g0122534 0 1:1264330-1265206 gene:Os01g0123700 gene:Os01g0122200
gene:Os01g0122701 0 1:1264967-1265273 gene:Os01g0122534 gene:Os01g0122367
gene:Os01g0121700 25.0066 1:1224011-1230500 gene:Os01g0122701 gene:Os01g0122534
gene:Os01g0123500 0 1:1328171-1329191 gene:Os01g0122200 gene:Os01g0122701
gene:Os01g0123800 0.168871 1:1335863-1337407 gene:Os01g0122367 gene:Os01g0123700
gene:Os01g0123700 6.97479 1:1333751-1334769 gene:Os01g0121700 gene:Os01g0123800
gene:Os01g0124100 1.28458 1:1345117-1346047 gene:Os01g0124100 gene:Os01g0124100
gene:Os01g0124550 0 1:1356758-1361044 gene:Os01g0124000 gene:Os01g0124000
gene:Os01g0124600 0 1:1363709-1364282 gene:Os01g0124550 gene:Os01g0124550
gene:Os01g0124000 131.745 1:1341367-1342277 gene:Os01g0124600 gene:Os01g0124600
gene:Os01g0124401 1.87795 1:1353704-1354767 gene:Os01g0124401 gene:Os01g0124401
gene:Os01g0124900 0 1:1369190-1374138 gene:Os01g0124900 gene:Os01g0124200
gene:Os01g0125000 0 1:1347664-1348723 gene:Os01g0125000 gene:Os01g0123900
gene:Os01g0125500 0 1:1365585-1366432 gene:Os01g0123900 gene:Os01g0124900
gene:Os01g0124200 61.6157 1:1365702-1366502 gene:Os01g0124200 gene:Os01g0124650
gene:Os01g0125550 0.606461 1:1375168-1376327 gene:Os01g0124650 gene:Os01g0124700
gene:Os01g0125600 0.153783 1:1395979-1396825 gene:Os01g0124700 gene:Os01g0125000
gene:Os01g0123900 489.711 1:1338240-1339098 gene:Os01g0125500 gene:Os01g0125500
gene:Os01g0125700 1.6891 1:1401418-1403419 gene:Os01g0125550 gene:Os01g0125550
gene:Os01g0124650 31.5791 1:1404815-1406889 gene:Os01g0125600 gene:Os01g0125600
gene:Os01g0124700 9.9307 1:1410986-1413093 gene:Os01g0125700 gene:Os01g0125700
gene:Os01g0125800 5.18792 1:1413838-1418982 gene:Os01g0125800 gene:Os01g0125800
gene:Os01g0125850 0.24754 1:1413846-1418662 gene:Os01g0125850 gene:Os01g0125850
gene:Os01g0126000 0.0696984 1:1433754-1434955 gene:Os01g0126000 gene:Os01g0126000
gene:Os01g0126100 0.117215 1:1433995-1436809 gene:Os01g0126100 gene:Os01g0126100
gene:Os01g0125900 9.48598 1:1421692-1427650 gene:Os01g0125900 gene:Os01g0125900
gene:Os01g0126900 0 1:1486399-1488897 gene:Os01g0126900 gene:Os01g0126900
gene:Os01g0127200 0 1:1497240-1500606 gene:Os01g0127200 gene:Os01g0127200
gene:Os01g0127000 0 1:1490493-1492684 gene:Os01g0127000 gene:Os01g0127000
gene:Os01g0127100 0 1:1490992-1492680 gene:Os01g0127100 gene:Os01g0127100
gene:Os01g0127500 0.0643711 1:1513137-1514432 gene:Os01g0127500 gene:Os01g0127300
gene:Os01g0127450 3.92946 1:1511963-1512646 gene:Os01g0127450 gene:Os01g0127400
gene:Os01g0127300 14.9347 1:1508212-1510771 gene:Os01g0127400 gene:Os01g0127450
gene:Os01g0127400 5.99439 1:1504036-1508057 gene:Os01g0127300 gene:Os01g0127500
gene:Os01g0127700 0.310823 1:1518246-1521601 gene:Os01g0127600 gene:Os01g0126200
gene:Os01g0127600 9.90837 1:1515836-1516714 gene:Os01g0127700 gene:Os01g0126600
gene:Os01g0127900 0.303222 1:1534134-1539601 gene:Os01g0128000 gene:Os01g0126401
gene:Os01g0126200 17.4808 1:1549240-1551011 gene:Os01g0126200 gene:Os01g0127600
gene:Os01g0126600 2.0209 1:1437162-1445599 gene:Os01g0126600 gene:Os01g0127700
gene:Os01g0126401 0.665806 1:1446848-1450473 gene:Os01g0126401 gene:Os01g0128000
gene:Os01g0128000 0 1:1445540-1449450 gene:Os01g0127900 gene:Os01g0127900
gene:Os01g0128300 4.86222 1:1569643-1570940 gene:Os01g0128300 gene:Os01g0128300
gene:Os01g0128100 0.690683 1:1562617-1566554 gene:Os01g0128100 gene:Os01g0128100
gene:Os01g0128250 0.073071 1:1567452-1568989 gene:Os01g0128250 gene:Os01g0128250
gene:Os01g0128200 4.54215 1:1566146-1569467 gene:Os01g0128200 gene:Os01g0128200
gene:Os01g0128700 0.588978 1:1597485-1598510 gene:Os01g0128700 gene:Os01g0128700
gene:Os01g0128400 16.6345 1:1571478-1576596 gene:Os01g0128400 gene:Os01g0128400
gene:Os01g0129200 0 1:1625158-1626574 gene:Os01g0129200 gene:Os01g0129200
gene:Os01g0129600 0 1:1657305-1658388 gene:Os01g0129600 gene:Os01g0129600
gene:Os01g0129800 0 1:1670474-1670997 gene:Os01g0129800 gene:Os01g0129800
gene:Os01g0129500 3.46635 1:1685426-1685810 gene:Os01g0129500 gene:Os01g0129500
gene:Os01g0129550 0.109319 1:1733866-1738307 gene:Os01g0129550 gene:Os01g0129550
gene:Os01g0130200 6.71776 1:1641271-1644151 gene:Os01g0130200 gene:Os01g0130200
gene:Os01g0131250 0 1:1641525-1642777 gene:Os01g0131250 gene:Os01g0131250
gene:Os01g0130900 2.90199 1:1712136-1712947 gene:Os01g0130900 gene:Os01g0130900
gene:Os01g0130400 0.785458 1:1698202-1703090 gene:Os01g0130400 gene:Os01g0131300
gene:Os01g0130500 0.0577658 1:1700522-1702512 gene:Os01g0130500 gene:Os01g0130400
gene:Os01g0128800 29.1656 1:1673502-1677066 gene:Os01g0130000 gene:Os01g0130500
gene:Os01g0130000 12.3518 1:1673865-1674692 gene:Os01g0130100 gene:Os01g0130000
gene:Os01g0130100 1.71859e-27 1:1598994-1605729 gene:Os01g0128800 gene:Os01g0130100
gene:Os01g0131300 72.3929 1:1738867-1739820 gene:Os01g0131300 gene:Os01g0128800
gene:Os01g0131900 0.832373 1:1757811-1758730 gene:Os01g0131900 gene:Os01g0131900
gene:Os01g0131800 8.9687 1:1754373-1757590 gene:Os01g0131800 gene:Os01g0131800
gene:Os01g0132200 0 1:1771496-1772410 gene:Os01g0132200 gene:Os01g0132200
gene:Os01g0132400 0 1:1776043-1778105 gene:Os01g0132400 gene:Os01g0132000
gene:Os01g0132500 1.28869 1:1781074-1782386 gene:Os01g0132000 gene:Os01g0132400
gene:Os01g0132700 7.45856 1:1760309-1761065 gene:Os01g0132500 gene:Os01g0132500
gene:Os01g0132766 1.36177 1:1801982-1803280 gene:Os01g0132700 gene:Os01g0132700
gene:Os01g0132000 79.2482 1:1787869-1791456 gene:Os01g0132050 gene:Os01g0132050
gene:Os01g0132050 0.0322387 1:1764783-1770260 gene:Os01g0132100 gene:Os01g0132100
gene:Os01g0132100 0.348075 1:1765372-1768669 gene:Os01g0132766 gene:Os01g0132766
gene:Os01g0133200 0.408016 1:1838281-1839194 gene:Os01g0133100 gene:Os01g0133200
gene:Os01g0133100 0.348384 1:1834109-1836549 gene:Os01g0133200 gene:Os01g0133100
gene:Os01g0132800 13.8171 1:1813010-1817601 gene:Os01g0131600 gene:Os01g0132800
gene:Os01g0131600 62.5315 1:1746415-1748544 gene:Os01g0131450 gene:Os01g0133400
gene:Os01g0131450 38.15 1:1746446-1748328 gene:Os01g0132800 gene:Os01g0133832
gene:Os01g0133400 15.8498 1:1844262-1849102 gene:Os01g0133400 gene:Os01g0133500
gene:Os01g0133832 0 1:1868092-1868762 gene:Os01g0133832 gene:Os01g0133600
gene:Os01g0134200 0.0703706 1:1876912-1879901 gene:Os01g0134200 gene:Os01g0133650
gene:Os01g0133866 0 1:1857082-1858534 gene:Os01g0133600 gene:Os01g0134200
gene:Os01g0133900 0 1:1857804-1858452 gene:Os01g0133650 gene:Os01g0133866
gene:Os01g0133600 0.171293 1:1869485-1870071 gene:Os01g0133866 gene:Os01g0133900
gene:Os01g0133650 0 1:1869772-1870408 gene:Os01g0133900 gene:Os01g0133700
gene:Os01g0134700 0.092882 1:1902740-1904902 gene:Os01g0133700 gene:Os01g0133799
gene:Os01g0133500 10.4032 1:1849886-1856251 gene:Os01g0133799 gene:Os01g0133766
